%Dischrage form lack

%time	Q, Water flow rate	Q, Water flow rate	Q, Water flow rate	Q, Water flow rate
%min	m^3/min	m^3/min	m^3/min	m^3/min
	%Dec.   Jan.    Feb.    Mar
1	56381	53022	56203	70816
2	52047	50745	53790	67775
3	54638	53272	56468	71150
4	53529	52191	55323	69706
5	59202	57722	61185	77093
6	59704	58211	63704	79747
7	56351	54943	58239	73381
8	56542	55128	60436	73629
9	55398	54013	57254	72140
10	53141	51813	54922	69201
11	51789	54494	53524	71440
12	52028	50727	56771	72751
13	59791	58296	61794	77860
14	59200	57720	61183	77091
15	59078	53601	61057	76932
16	56390	57905	64380	78338
17	57528	56090	59456	74914
18	55861	54465	57732	72743
19	55290	53908	53142	72000
20	59050	57574	61028	76896
21	53263	51931	55047	69359
22	54360	53001	56181	70788
23	51786	50491	53521	68436
24	54594	53229	56423	71093
25	50514	49252	52207	65780
26	56712	55294	58612	73851
27	58774	57379	57642	72629
28	57074	55647	58986	74323
29	56108	54705	55988	73065
30	59500	58013	61493	77481
31	55559	54170	57420	72350
32	58700	57233	60666	76440
33	59675	58183	63674	77710
34	56351	54943	58239	73381
35	52542	55128	62436	73629
36	55398	54013	57254	72140
37	53141	51813	54922	64201
38	49239	48008	50888	62119
39	52028	50727	53771	67751
40	59491	58004	61484	77469
41	61100	57623	64080	76961
42	59490	59903	61483	77468
43	56589	58099	58585	79597
44	57528	56090	59456	74914
45	55861	54465	57732	72743
46	55290	53908	52142	72000
47	59100	57623	61080	76961
48	53263	51931	55047	69359
49	54360	53001	56181	70788
50	51786	50491	53521	67436
51	54594	53229	56423	71093
52	50514	49252	52207	61780
53	56712	55294	58612	73851
54	55774	54379	57642	72629
55	57074	55647	58986	74323
56	56108	54705	57988	73065
57	59065	57588	61044	76915
58	55559	54170	57420	72350
59	59202	57722	61185	77093
60	59675	58183	64674	78710
